field_1,year,ice_volume,unit
1,1978,53.29,km^3
2,1979,52.31,km^3
3,1980,52.31,km^3
4,1981,52.52,km^3
5,1982,52.13,km^3
6,1983,52.93,km^3
7,1984,53.6,km^3
8,1985,54.09,km^3
9,1986,54.12,km^3
10,1987,54.28,km^3
11,1988,54.03,km^3
12,1989,53.88,km^3
13,1990,52.01,km^3
14,1991,52.23,km^3
15,1992,52.96,km^3
16,1993,53.8,km^3
17,1994,54.21,km^3
18,1995,55.22,km^3
19,1996,55.39,km^3
20,1997,56.21,km^3
21,1998,55.36,km^3
22,1999,53.04,km^3
23,2000,51.04,km^3
24,2001,51.61,km^3
25,2002,50.1,km^3
26,2003,50.69,km^3
27,2004,51.25,km^3
28,2005,52.02,km^3
29,2006,51.25,km^3
30,2007,51.07,km^3
31,2008,49.35,km^3
32,2009,47.98,km^3
33,2010,47.78,km^3
34,2011,45.24,km^3
35,2012,43.57,km^3
36,2013,43.61,km^3
37,2014,43.66,km^3
38,2015,42.88,km^3
39,2016,40.71,km^3
40,2017,40.88,km^3
41,2018,38.2,km^3
42,2019,35.66,km^3
43,2020,34.6,km^3
